Country;Latitud (generado);Longitud (generado);Happiness Score
Zimbabwe;-19,098;30,047;12,7
Zambia;-15,13;25,268;14,4
Yemen;15,569;47,793;11,4
Vietnam;21,75;105,373;15,5
Venezuela;6,983;-64,588;18,1
Uzbekistan;41,757;63,958;18,0
Uruguay;-32,948;-56,249;19,5
United States;40,0792;-98,8164;21,2
United Kingdom;52,289;-1,259;20,3
United Arab Emirates;23,9299;53,9031;20,1
Ukraine;49,364;32,132;13,1
Uganda;1,9392;32,7415;11,8
Turkmenistan;39,584;59,597;17,0
Turkey;39,144;34,188;16,2
Tunisia;35,594;9,421;14,6
Trinidad and Tobago;10,4435;-61,2604;18,5
Togo;7,7;1,106;9,6
Thailand;15,688;100,845;19,4
Tanzania;-5,651;34,146;10,8
Tajikistan;38,367;72,597;14,8
Taiwan Province of China;;;6,4
Taiwan;23,6091;120,8353;12,7
Syria;35,303;38,322;9,5
Switzerland;46,7794;8,0329;22,6
Sweden;66,2188;19;21,9
Swaziland;-26,5203;31,4607;4,9
Suriname;4,248;-55,848;12,5
Sudan;15,739;29,533;12,8
Sri Lanka;7,3;80,727;13,1
Spain;40,617;-3,388;19,1
South Sudan;7,1;30,48;7,4
South Korea;36,338;128,16;17,7
South Africa;-31,7;23,441;13,9
Somaliland region;;;10,1
Somalia;2,875;43,446;10,6
Slovenia;46,037;14,534;17,4
Slovakia;48,8595;19,4434;18,2
Singapore;1,3389;103,8297;20,1
Sierra Leone;8,677;-11,779;13,9
Serbia;44,021;20,699;15,7
Senegal;15,044;-15,081;12,7
Saudi Arabia;24,191;44,32;19,1
Rwanda;-1,887;29,904;10,5
Russia;64,736;104,062;17,5
Romania;45,933;25,119;16,5
Qatar;25,3174;51,1522;19,4
Puerto Rico;18,242;-66,643;7,0
Portugal;40,957;-7,9373;15,4
Poland;52,442;19,72;17,6
Philippines;17,181;121,256;15,8
Peru;-12,664;-72,98;17,3
Paraguay;-23,266;-58,409;16,9
Panama;8,348;-81,005;19,9
