Country,Country (totalpopulation),Country Code,Country Name,Country1,Region,Year,Year (Gdptotal),Year (totalpopulation),Year1,CO2 (kt),CO2 Per Capita (metric tons),current GDP,Energy use (kg of oil equivalent per capita),Population Total
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2000,1/1/2000,1/1/2000,1/1/2000,2321.211,25.547678795,1873452514,,90853
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2001,1/1/2001,1/1/2001,1/1/2001,2357.881,25.382489719,1920111732,,92898
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2002,1/1/2002,1/1/2002,1/1/2002,2372.549,24.975514501,1941340782,,94992
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2003,1/1/2003,1/1/2003,1/1/2003,2416.553,24.909065608,2021229050,,97017
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2004,1/1/2004,1/1/2004,1/1/2004,2420.22,24.510542626,2228491620,,98737
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2005,1/1/2005,1/1/2005,1/1/2005,2497.227,24.964530995,2330726257,,100031
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2006,1/1/2006,1/1/2006,1/1/2006,2497.227,24.766706337,2424581006,,100834
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2007,1/1/2007,1/1/2007,1/1/2007,2592.569,25.613714952,2615083799,,101222
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2008,1/1/2008,1/1/2008,1/1/2008,2508.228,24.750133212,2745251397,,101358
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2009,1/1/2009,1/1/2009,1/1/2009,2522.896,24.876705845,2498882682,,101455
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2010,1/1/2010,1/1/2010,1/1/2010,2456.89,24.182702245,2390502793,,101669
Aruba,Aruba,ABW,Aruba,Aruba,Latin America & Caribbean,1/1/2011,1/1/2011,1/1/2011,1/1/2011,2438.555,23.922412102,2549720670,,102046
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2000,1/1/2000,1/1/2000,1/1/2000,524.381,8.018180706,1429049198,,65390
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2001,1/1/2001,1/1/2001,1/1/2001,524.381,7.73765678,1546926174,,67341
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2002,1/1/2002,1/1/2002,1/1/2002,531.715,7.484094812,1755910032,,70049
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2003,1/1/2003,1/1/2003,1/1/2003,535.382,7.159140446,2361726862,,73182
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2004,1/1/2004,1/1/2004,1/1/2004,564.718,7.208828523,2894921778,,76244
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2005,1/1/2005,1/1/2005,1/1/2005,575.719,7.088127747,3159905484,,78867
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2006,1/1/2006,1/1/2006,1/1/2006,546.383,6.553476545,3456442103,,80993
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2007,1/1/2007,1/1/2007,1/1/2007,539.049,6.350868305,3952600602,,82684
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2008,1/1/2008,1/1/2008,1/1/2008,539.049,6.296124556,4085630584,,83862
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2009,1/1/2009,1/1/2009,1/1/2009,517.047,6.049172848,3674409558,,84463
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2010,1/1/2010,1/1/2010,1/1/2010,517.047,6.12477049,3449966857,,84449
Andorra,Andorra,AND,Andorra,Andorra,Europe & Central Asia,1/1/2011,1/1/2011,1/1/2011,1/1/2011,491.378,5.96868547,3629203786,,83747
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2000,1/1/2000,1/1/2000,1/1/2000,781.071,0.03964437,,,20779953
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2001,1/1/2001,1/1/2001,1/1/2001,645.392,0.031434756,,,21606988
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2002,1/1/2002,1/1/2002,1/1/2002,894.748,0.041641211,4055179566,,22600770
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2003,1/1/2003,1/1/2003,1/1/2003,1037.761,0.046107612,4515558808,,23680871
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2004,1/1/2004,1/1/2004,1/1/2004,957.087,0.040727366,5226778809,,24726684
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2005,1/1/2005,1/1/2005,1/1/2005,1338.455,0.05485483,6209137625,,25654277
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2006,1/1/2006,1/1/2006,1/1/2006,1657.484,0.065815968,6971285595,,26433049
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2007,1/1/2007,1/1/2007,1/1/2007,2280.874,0.088141054,9747879532,,27100536
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2008,1/1/2008,1/1/2008,1/1/2008,4217.05,0.158961558,10109225814,,27722276
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2009,1/1/2009,1/1/2009,1/1/2009,6776.616,0.24907353,12439087077,,28394813
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2010,1/1/2010,1/1/2010,1/1/2010,8470.77,0.302936388,15856574731,,29185507
Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,South Asia,1/1/2011,1/1/2011,1/1/2011,1/1/2011,12251.447,0.425262105,17804292964,,30117413
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2000,1/1/2000,1/1/2000,1/1/2000,9541.534,0.633625299,9129594819,438.5500193,16395473
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2001,1/1/2001,1/1/2001,1/1/2001,9732.218,0.625351712,8936063723,442.9788396,16945753
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2002,1/1/2002,1/1/2002,1/1/2002,12665.818,0.786223278,15285594828,448.2617201,17519417
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2003,1/1/2003,1/1/2003,1/1/2003,9064.824,0.543083667,17812705294,467.6440593,18121479
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2004,1/1/2004,1/1/2004,1/1/2004,18793.375,1.086604897,23552052408,464.8078475,18758145
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2005,1/1/2005,1/1/2005,1/1/2005,19156.408,1.069417185,36970918699,433.5725307,19433602
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2006,1/1/2006,1/1/2006,1/1/2006,22266.024,1.200877147,52381006892,458.7941648,20149901
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2007,1/1/2007,1/1/2007,1/1/2007,25151.953,1.311096483,65266452081,471.6941772,20905363
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2008,1/1/2008,1/1/2008,1/1/2008,27172.47,1.369424769,88538611205,491.9786165,21695634
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2009,1/1/2009,1/1/2009,1/1/2009,29361.669,1.430873373,70307163678,515.2171193,22514281
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2010,1/1/2010,1/1/2010,1/1/2010,29743.037,1.401654169,83799496611,520.9623584,23356246
Angola,Angola,AGO,Angola,Angola,Sub-Saharan Africa,1/1/2011,1/1/2011,1/1/2011,1/1/2011,29710.034,1.35400753,111790000000,521.7806814,24220661
Albania,Albania,ALB,Albania,Albania,Europe & Central Asia,1/1/2000,1/1/2000,1/1/2000,1/1/2000,3021.608,0.978174681,3480355189,580.4947642,3089027
Albania,Albania,ALB,Albania,Albania,Europe & Central Asia,1/1/2001,1/1/2001,1/1/2001,1/1/2001,3223.293,1.053304176,3922099471,597.2652527,3060173
Albania,Albania,ALB,Albania,Albania,Europe & Central Asia,1/1/2002,1/1/2002,1/1/2002,1/1/2002,3751.341,1.229540709,4348070165,660.0479841,3051010
Albania,Albania,ALB,Albania,Albania,Europe & Central Asia,1/1/2003,1/1/2003,1/1/2003,1/1/2003,4294.057,1.412697196,5611492283,648.1683871,3039616
Albania,Albania,ALB,Albania,Albania,Europe & Central Asia,1/1/2004,1/1/2004,1/1/2004,1/1/2004,4165.712,1.376212735,7184681399,715.4144831,3026939
Albania,Albania,ALB,Albania,Albania,Europe & Central Asia,1/1/2005,1/1/2005,1/1/2005,1/1/2005,4253.72,1.412498211,8052075642,719.5843781,3011487
